"countrynum","statenum","Route","Active","Lati","Longi","Stratum","BCR","LandTypeID","RouteTypeID","RouteTypeDetailId","cntrystatenum","cntrystateroutenum"
"840","02","001",1,34.868688,-87.6041417,14,27,0,1,1,"84002","84002001"
"840","02","002",0,34.6386747,-87.1912919,14,24,0,1,1,"84002","84002002"
"840","02","003",0,34.8,-87.7333333,14,24,0,1,1,"84002","84002003"
"840","02","004",1,34.0297881,-87.0592352,13,28,0,1,1,"84002","84002004"
"840","02","005",0,34.2016687,-86.4934089,13,28,0,1,1,"84002","84002005"
"840","02","006",1,34.5012877,-86.6855493,14,24,0,1,1,"84002","84002006"
"840","02","007",1,34.8680404,-86.2030371,14,24,0,1,1,"84002","84002007"
"840","02","008",1,34.0278089,-85.7110414,13,28,0,1,1,"84002","84002008"
"840","02","009",0,34.3039507,-85.9267589,13,28,0,1,1,"84002","84002009"
"840","02","010",1,33.1913463,-85.9258408,11,29,0,1,1,"84002","84002010"
"840","02","011",0,33.6257237,-85.7518379,13,28,0,1,1,"84002","84002011"
"840","02","012",1,33.6076572,-85.7511714,13,28,0,1,1,"84002","84002012"
"840","02","013",1,33.8116977,-86.1153789,13,28,0,1,1,"84002","84002013"
"840","02","014",1,33.4549551,-86.6010915,13,28,0,1,1,"84002","84002014"
"840","02","015",1,33.6822947,-86.8721632,13,28,0,1,1,"84002","84002015"
"840","02","016",1,33.8481773,-87.5888357,13,27,0,1,1,"84002","84002016"
"840","02","017",1,33.5263185,-87.0044623,13,28,0,1,1,"84002","84002017"
"840","02","018",0,33.15,-87,4,28,0,1,1,"84002","84002018"
"840","02","019",1,33.4765537,-88.1712189,4,27,0,1,1,"84002","84002019"
"840","02","020",1,32.1307226,-88.3172665,4,27,0,1,1,"84002","84002020"
"840","02","021",1,32.2782397,-87.8359539,4,27,0,1,1,"84002","84002021"
"840","02","022",1,32.442715,-87.2158334,4,27,0,1,1,"84002","84002022"
"840","02","023",1,32.7846996,-87.5153953,4,27,0,1,1,"84002","84002023"
"840","02","024",1,32.1312407,-86.2754989,4,27,0,1,1,"84002","84002024"
"840","02","025",1,32.6594297,-86.7017714,4,27,0,1,1,"84002","84002025"
"840","02","026",1,32.5890245,-86.1307777,4,27,0,1,1,"84002","84002026"
"840","02","027",1,32.3116131,-85.5530853,4,27,0,1,1,"84002","84002027"
"840","02","028",1,32.8854647,-85.2044589,11,29,0,1,1,"84002","84002028"
"840","02","029",1,32.1473077,-85.0626449,4,27,0,1,1,"84002","84002029"
"840","02","030",1,31.3388298,-85.5895835,4,27,0,1,1,"84002","84002030"
"840","02","031",1,31.0081277,-85.2112631,4,27,0,1,1,"84002","84002031"
"840","02","032",1,31.7165541,-85.8156189,4,27,0,1,1,"84002","84002032"
"840","02","033",1,31.5859083,-86.250378,4,27,0,1,1,"84002","84002033"
"840","02","034",1,31.4439507,-86.6131969,4,27,0,1,1,"84002","84002034"
"840","02","035",1,30.9977072,-86.8858316,4,27,0,1,1,"84002","84002035"
"840","02","036",1,31.7399574,-87.2090516,4,27,0,1,1,"84002","84002036"
"840","02","037",0,31.0969767,-87.8321999,4,27,0,1,1,"84002","84002037"
"840","02","038",1,31.3180673,-87.1203132,4,27,0,1,1,"84002","84002038"
"840","02","039",1,31.632605,-88.3131441,4,27,0,1,1,"84002","84002039"
"840","02","040",0,30.2540327,-88.1125479,3,27,0,1,1,"84002","84002040"
"840","02","041",0,30.2818577,-87.5183809,3,27,0,1,1,"84002","84002041"
"840","02","042",0,30.3701137,-87.6833489,3,27,0,1,1,"84002","84002042"
"840","02","043",1,33.1156047,-87.1007539,13,27,0,1,1,"84002","84002043"
"840","02","044",0,33.5909437,-86.6965489,13,28,0,1,1,"84002","84002044"
"840","02","045",1,34.1311637,-87.7621469,4,27,0,1,1,"84002","84002045"
"840","02","046",1,34.3142387,-86.4773569,13,28,0,1,1,"84002","84002046"
"840","02","047",1,33.1379607,-87.8205274,4,27,0,1,1,"84002","84002047"
"840","02","048",1,32.6807827,-88.1229309,4,27,0,1,1,"84002","84002048"
"840","02","049",1,32.8055085,-87.7643955,4,27,0,1,1,"84002","84002049"
"840","02","050",1,32.3276808,-86.7118894,4,27,0,1,1,"84002","84002050"
"840","02","051",1,32.5816871,-85.7164607,11,28,0,1,1,"84002","84002051"
"840","02","052",1,31.2926075,-88.38516,4,27,0,1,1,"84002","84002052"
"840","02","053",1,31.7097587,-87.7767179,4,27,0,1,1,"84002","84002053"
"840","02","054",1,31.2223969,-86.0994295,4,27,0,1,1,"84002","84002054"
"840","02","055",1,31.6676037,-85.6508719,4,27,0,1,1,"84002","84002055"
"840","02","056",0,33.4572917,-86.2574629,13,28,0,1,1,"84002","84002056"
"840","02","057",1,34.4236313,-87.3907904,13,28,0,1,1,"84002","84002057"
"840","02","058",1,34.5810567,-85.565583,13,28,0,1,1,"84002","84002058"
"840","02","059",1,33.2811827,-88.0092154,4,27,0,1,1,"84002","84002059"
"840","02","060",1,33.2638251,-87.4241383,4,27,0,1,1,"84002","84002060"
"840","02","061",1,33.718519,-86.4457647,13,28,0,1,1,"84002","84002061"
"840","02","062",0,33.9282957,-85.4680639,11,28,0,1,1,"84002","84002062"
"840","02","063",1,32.4128107,-87.5381089,4,27,0,1,1,"84002","84002063"
"840","02","064",0,32.8224147,-86.1118009,11,28,0,1,1,"84002","84002064"
"840","02","065",1,32.4341515,-85.8711729,4,27,0,1,1,"84002","84002065"
"840","02","066",1,31.2283931,-87.0654001,4,27,0,1,1,"84002","84002066"
"840","02","067",1,31.4086552,-86.270046,4,27,0,1,1,"84002","84002067"
"840","02","068",1,31.0322875,-85.4115544,4,27,0,1,1,"84002","84002068"
"840","02","069",1,30.9422777,-88.3523559,4,27,0,1,1,"84002","84002069"
"840","02","070",1,30.3038647,-87.7299991,3,27,0,1,1,"84002","84002070"
"840","02","071",1,34.7961251,-87.3837235,14,24,0,1,1,"84002","84002071"
"840","02","072",1,34.9292307,-86.9887629,14,24,0,1,1,"84002","84002072"
"840","02","073",1,34.9895137,-86.0671689,21,28,0,1,1,"84002","84002073"
"840","02","102",1,34.6030578,-87.2543912,14,24,0,1,1,"84002","84002102"
"840","02","105",1,34.2126918,-86.4734413,13,28,0,1,1,"84002","84002105"
