"seq","aou","english_common_name","species_name"
4,"10010","Great Tinamou","Tinamus major"
7,"10030","Little Tinamou","Crypturellus soui"
10,"40080","Thicket Tinamou","Crypturellus cinnamomeus"
13,"10050","Slaty-breasted Tinamou","Crypturellus boucardi"
16,"01770","Black-bellied Whistling-Duck","Dendrocygna autumnalis"
19,"10200","West Indian Whistling-Duck","Dendrocygna arborea"
22,"01780","Fulvous Whistling-Duck","Dendrocygna bicolor"
25,"20590","Swan Goose","Anser cygnoides"
28,"01711","Taiga Bean-Goose","Anser fabalis"
31,"01714","Tundra Bean-Goose","Anser serrirostris"
34,"01712","Pink-footed Goose","Anser brachyrhynchus"
37,"01710","Greater White-fronted Goose","Anser albifrons"
40,"01713","Lesser White-fronted Goose","Anser erythropus"
43,"20600","Graylag Goose","Anser anser"
46,"01760","Emperor Goose","Chen canagica"
49,"01690","Snow Goose","Chen caerulescens"
52,"01691","(Blue Goose) Snow Goose","Chen caerulescens (blue form)"
55,"01700","Ross's Goose","Chen rossii"
58,"01730","Brant","Branta bernicla"
61,"01740","(Black Brant) Brant","Branta bernicla nigricans"
64,"01750","Barnacle Goose","Branta leucopsis"
67,"01725","Cackling Goose","Branta hutchinsii"
70,"01720","Canada Goose","Branta canadensis"
76,"01782","Mute Swan","Cygnus olor"
79,"80380","Black Swan","Cygnus atratus"
82,"01810","Trumpeter Swan","Cygnus buccinator"
85,"01800","Tundra Swan","Cygnus columbianus"
88,"01790","Whooper Swan","Cygnus cygnus"
91,"20630","Egyptian Goose","Alopochen aegyptiaca"
94,"10210","Muscovy Duck","Cairina moschata"
97,"01440","Wood Duck","Aix sponsa"
100,"20670","Mandarin Duck","Aix galericulata"
103,"01350","Gadwall","Anas strepera"
106,"01371","Falcated Duck","Anas falcata"
109,"01360","Eurasian Wigeon","Anas penelope"
112,"01370","American Wigeon","Anas americana"
115,"01330","American Black Duck","Anas rubripes"
118,"01320","Mallard","Anas platyrhynchos"
121,"01331","(Mexican Duck) Mallard","Anas platyrhynchos diazi"
124,"01340","Mottled Duck","Anas fulvigula"
127,"01326","hybrid Mallard x Black Duck or Mottled Duck","Anas platyrhynchos x rubripes or fulvigula"
136,"01341","Eastern Spot-billed Duck","Anas zonorhyncha"
139,"01400","Blue-winged Teal","Anas discors"
142,"01410","Cinnamon Teal","Anas cyanoptera"
145,"01420","Northern Shoveler","Anas clypeata"
148,"01431","White-cheeked Pintail","Anas bahamensis"
151,"01430","Northern Pintail","Anas acuta"
154,"01392","Garganey","Anas querquedula"
157,"01391","Baikal Teal","Anas formosa"
